id,year,question_number,topic,exam_code,question_url,solution_url,moed
91bb41cf-0123-4971-b8f0-3f0c98a24dd0,2026,2,probability,471,https://files.geva.co.il/geva_website/uploads/2026/01/%D7%A9%D7%90%D7%9C%D7%95%D7%9F-35471.pdf,https://files.geva.co.il/geva_website/uploads/2026/01/%D7%A4%D7%AA%D7%A8%D7%95%D7%9F-%D7%9E%D7%9C%D7%90-471-%D7%97%D7%95%D7%A8%D7%A3-26.pdf,חורף
1b38cb80-1154-4bc7-b407-6d3fc3237fe8,2026,5,geometry,471,https://files.geva.co.il/geva_website/uploads/2026/01/%D7%A9%D7%90%D7%9C%D7%95%D7%9F-35471.pdf,https://files.geva.co.il/geva_website/uploads/2026/01/%D7%A4%D7%AA%D7%A8%D7%95%D7%9F-%D7%9E%D7%9C%D7%90-471-%D7%97%D7%95%D7%A8%D7%A3-26.pdf,חורף
a6722249-bbdb-48fe-a035-9d217d511c91,2026,6,derivatives,471,https://files.geva.co.il/geva_website/uploads/2026/01/%D7%A9%D7%90%D7%9C%D7%95%D7%9F-35471.pdf,https://files.geva.co.il/geva_website/uploads/2026/01/%D7%A4%D7%AA%D7%A8%D7%95%D7%9F-%D7%9E%D7%9C%D7%90-471-%D7%97%D7%95%D7%A8%D7%A3-26.pdf,חורף
f92b156e-cf03-4c99-a0bf-90be1d556604,2026,3,probability,471,https://files.geva.co.il/geva_website/uploads/2026/01/%D7%A9%D7%90%D7%9C%D7%95%D7%9F-35471.pdf,https://files.geva.co.il/geva_website/uploads/2026/01/%D7%A4%D7%AA%D7%A8%D7%95%D7%9F-%D7%9E%D7%9C%D7%90-471-%D7%97%D7%95%D7%A8%D7%A3-26.pdf,חורף
981ee37d-f1d1-482d-94bb-94f74c52079e,2026,4,geometry,471,https://files.geva.co.il/geva_website/uploads/2026/01/%D7%A9%D7%90%D7%9C%D7%95%D7%9F-35471.pdf,https://files.geva.co.il/geva_website/uploads/2026/01/%D7%A4%D7%AA%D7%A8%D7%95%D7%9F-%D7%9E%D7%9C%D7%90-471-%D7%97%D7%95%D7%A8%D7%A3-26.pdf,חורף
c2ff94af-702e-4b35-b29e-3126c642e19e,2026,1,probability,471,https://files.geva.co.il/geva_website/uploads/2026/01/%D7%A9%D7%90%D7%9C%D7%95%D7%9F-35471.pdf,https://files.geva.co.il/geva_website/uploads/2026/01/%D7%A4%D7%AA%D7%A8%D7%95%D7%9F-%D7%9E%D7%9C%D7%90-471-%D7%97%D7%95%D7%A8%D7%A3-26.pdf,חורף
c80f9436-3ddf-4e2a-9365-32af5c664a96,2026,8,derivatives,471,https://files.geva.co.il/geva_website/uploads/2026/01/%D7%A9%D7%90%D7%9C%D7%95%D7%9F-35471.pdf,https://files.geva.co.il/geva_website/uploads/2026/01/%D7%A4%D7%AA%D7%A8%D7%95%D7%9F-%D7%9E%D7%9C%D7%90-471-%D7%97%D7%95%D7%A8%D7%A3-26.pdf,חורף
c9982fa1-aee0-4b1c-abec-17bc43b7aa46,2026,7,derivatives,471,https://files.geva.co.il/geva_website/uploads/2026/01/%D7%A9%D7%90%D7%9C%D7%95%D7%9F-35471.pdf,https://files.geva.co.il/geva_website/uploads/2026/01/%D7%A4%D7%AA%D7%A8%D7%95%D7%9F-%D7%9E%D7%9C%D7%90-471-%D7%97%D7%95%D7%A8%D7%A3-26.pdf,חורף
9aa2607b-eb9e-4147-a073-df41090e6b95,2025,6,derivatives,471,https://files.geva.co.il/geva_website/uploads/2025/05/%D7%A9%D7%90%D7%9C%D7%95%D7%9F-35471-%D7%A7%D7%99%D7%A5-25.pdf,https://files.geva.co.il/geva_website/uploads/2025/05/%D7%A4%D7%AA%D7%A8%D7%95%D7%9F-%D7%9E%D7%9C%D7%90-35471-%D7%A7%D7%99%D7%A5-25-%D7%9E%D7%95%D7%A2%D7%93-%D7%90-1.pdf,קיץ א
e820b177-c958-42e1-a32c-5f99bebe4875,2025,8,derivatives,471,https://files.geva.co.il/geva_website/uploads/2025/05/%D7%A9%D7%90%D7%9C%D7%95%D7%9F-35471-%D7%A7%D7%99%D7%A5-25.pdf,https://files.geva.co.il/geva_website/uploads/2025/05/%D7%A4%D7%AA%D7%A8%D7%95%D7%9F-%D7%9E%D7%9C%D7%90-35471-%D7%A7%D7%99%D7%A5-25-%D7%9E%D7%95%D7%A2%D7%93-%D7%90-1.pdf,קיץ א
e941e545-a1c5-4a4e-82d7-ff4cbffc08bc,2025,1,probability,471,https://files.geva.co.il/geva_website/uploads/2025/05/%D7%A9%D7%90%D7%9C%D7%95%D7%9F-35471-%D7%A7%D7%99%D7%A5-25.pdf,https://files.geva.co.il/geva_website/uploads/2025/05/%D7%A4%D7%AA%D7%A8%D7%95%D7%9F-%D7%9E%D7%9C%D7%90-35471-%D7%A7%D7%99%D7%A5-25-%D7%9E%D7%95%D7%A2%D7%93-%D7%90-1.pdf,קיץ א
9b73f022-2142-4d77-a8a0-c9e4c3f47bbe,2025,4,geometry,471,https://files.geva.co.il/geva_website/uploads/2025/05/%D7%A9%D7%90%D7%9C%D7%95%D7%9F-35471-%D7%A7%D7%99%D7%A5-25.pdf,https://files.geva.co.il/geva_website/uploads/2025/05/%D7%A4%D7%AA%D7%A8%D7%95%D7%9F-%D7%9E%D7%9C%D7%90-35471-%D7%A7%D7%99%D7%A5-25-%D7%9E%D7%95%D7%A2%D7%93-%D7%90-1.pdf,קיץ א
ba32d861-5b7f-4d23-8f9e-02265ce8e355,2025,3,probability,471,https://files.geva.co.il/geva_website/uploads/2025/05/%D7%A9%D7%90%D7%9C%D7%95%D7%9F-35471-%D7%A7%D7%99%D7%A5-25.pdf,https://files.geva.co.il/geva_website/uploads/2025/05/%D7%A4%D7%AA%D7%A8%D7%95%D7%9F-%D7%9E%D7%9C%D7%90-35471-%D7%A7%D7%99%D7%A5-25-%D7%9E%D7%95%D7%A2%D7%93-%D7%90-1.pdf,קיץ א
3637f392-97fa-48d2-9687-57e8482ec4b8,2025,2,probability,471,https://files.geva.co.il/geva_website/uploads/2025/05/%D7%A9%D7%90%D7%9C%D7%95%D7%9F-35471-%D7%A7%D7%99%D7%A5-25.pdf,https://files.geva.co.il/geva_website/uploads/2025/05/%D7%A4%D7%AA%D7%A8%D7%95%D7%9F-%D7%9E%D7%9C%D7%90-35471-%D7%A7%D7%99%D7%A5-25-%D7%9E%D7%95%D7%A2%D7%93-%D7%90-1.pdf,קיץ א
bc8336c3-9a67-4559-b3d6-582710f17298,2025,5,geometry,471,https://files.geva.co.il/geva_website/uploads/2025/05/%D7%A9%D7%90%D7%9C%D7%95%D7%9F-35471-%D7%A7%D7%99%D7%A5-25.pdf,https://files.geva.co.il/geva_website/uploads/2025/05/%D7%A4%D7%AA%D7%A8%D7%95%D7%9F-%D7%9E%D7%9C%D7%90-35471-%D7%A7%D7%99%D7%A5-25-%D7%9E%D7%95%D7%A2%D7%93-%D7%90-1.pdf,קיץ א
7d3fdab4-a23d-418a-a297-0230050f33c4,2025,7,derivatives,471,https://files.geva.co.il/geva_website/uploads/2025/05/%D7%A9%D7%90%D7%9C%D7%95%D7%9F-35471-%D7%A7%D7%99%D7%A5-25.pdf,https://files.geva.co.il/geva_website/uploads/2025/05/%D7%A4%D7%AA%D7%A8%D7%95%D7%9F-%D7%9E%D7%9C%D7%90-35471-%D7%A7%D7%99%D7%A5-25-%D7%9E%D7%95%D7%A2%D7%93-%D7%90-1.pdf,קיץ א
74aede22-6b95-4a7f-93b0-d631caa3d3c4,2025,3,probability,471,https://files.geva.co.il/geva_website/uploads/2025/05/%D7%A9%D7%90%D7%9C%D7%95%D7%9F-471.pdf,https://files.geva.co.il/geva_website/uploads/2025/05/%D7%A4%D7%AA%D7%A8%D7%95%D7%9F-%D7%9E%D7%9C%D7%90-471-%D7%A7%D7%99%D7%A5-25-%D7%9E%D7%95%D7%A2%D7%93-%D7%91.pdf,קיץ ב
a6b3ca9a-4b0e-4b7c-8f40-cfc0d2b09b85,2025,7,derivatives,471,https://files.geva.co.il/geva_website/uploads/2025/05/%D7%A9%D7%90%D7%9C%D7%95%D7%9F-471.pdf,https://files.geva.co.il/geva_website/uploads/2025/05/%D7%A4%D7%AA%D7%A8%D7%95%D7%9F-%D7%9E%D7%9C%D7%90-471-%D7%A7%D7%99%D7%A5-25-%D7%9E%D7%95%D7%A2%D7%93-%D7%91.pdf,קיץ ב
